City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2023-01-25 23:51:37,42.097,-79.2353,38.79,97,100,10.36
1,Brownsville,US,2023-01-25 23:57:31,25.9018,-97.4975,63.09,59,25,11.88
2,Torbay,CA,2023-01-25 23:57:57,47.6666,-52.7314,30.58,77,40,18.41
3,Lata,PT,2023-01-25 23:58:26,40.1629,-8.3327,36.07,81,0,3.29
4,New Norfolk,AU,2023-01-25 23:55:34,-42.7826,147.0587,65.91,55,100,4.0
5,Nemuro,JP,2023-01-25 23:58:26,43.3236,145.575,19.11,67,93,32.84
6,Coquimbo,CL,2023-01-25 23:58:27,-29.9533,-71.3436,65.93,77,0,10.36
7,Punta Arenas,CL,2023-01-25 23:56:39,-53.15,-70.9167,50.11,57,40,18.41
8,Albany,US,2023-01-25 23:55:00,42.6001,-73.9662,34.3,90,100,8.99
9,Bathsheba,BB,2023-01-25 23:58:27,13.2167,-59.5167,79.41,69,20,20.71
10,Cape Town,ZA,2023-01-25 23:54:03,-33.9258,18.4232,64.9,74,0,11.99
11,Tuscaloosa,US,2023-01-25 23:54:38,33.2098,-87.5692,44.56,79,93,1.99
12,Lagoa,PT,2023-01-25 23:58:29,39.05,-27.9833,58.17,73,11,18.9
13,Amahai,ID,2023-01-25 23:58:29,-3.3333,128.9167,82.29,76,89,1.97
14,Gornopravdinsk,RU,2023-01-25 23:58:31,60.05,69.9,10.18,93,100,9.82
15,Los Llanos De Aridane,ES,2023-01-25 23:58:31,28.6585,-17.9182,60.55,70,75,21.99
16,Midland,US,2023-01-25 23:57:44,31.9974,-102.0779,45.32,45,40,5.75
17,Rikitea,PF,2023-01-25 23:58:33,-23.1203,-134.9692,79.39,77,100,16.06
18,Coffs Harbour,AU,2023-01-25 23:58:33,-30.3,153.1333,87.13,65,0,11.5
19,Aitape,PG,2023-01-25 23:58:33,-3.1374,142.3475,83.53,70,100,3.0
20,Ushuaia,AR,2023-01-25 23:55:02,-54.8,-68.3,46.06,71,40,11.5
21,Aykino,RU,2023-01-25 23:58:34,62.2248,49.9922,32.38,93,100,15.59
22,Turtas,RU,2023-01-25 23:58:34,58.9417,69.1325,9.05,94,100,9.66
